,テクニカルのみ,複合(財務は現在値固定),ベンチマーク(全銘柄等ウェイト),参考: 日経225,参考: S&P500
2021-08-31,0.16401253162622736,0.18069585641803348,0.02643759277728558,0.02953970585856114,0.028990416255438634
2021-09-30,-0.014436869010369436,-0.017342457381195886,-0.011194821754384646,0.04852771313609017,-0.047569168801901096
2021-10-31,0.05981267574030903,-0.010387477567308779,0.03683968442882801,-0.019012567970237204,0.0691438364006065
2021-11-30,-0.02781474001449491,0.026709107421405552,-0.032475213557431264,-0.03706576673097384,-0.008333706184746159
2021-12-31,0.044736170699376646,0.02991593569927876,0.056779695252371115,0.03486304173589394,0.04361291346206486
2022-01-31,-0.10307320922437382,-0.01468031006477657,-0.03433601683845018,-0.06216130999074987,-0.052585165027393854
2022-02-28,0.07252136069758759,0.03968671103595626,-0.006426513039773325,-0.01759723353625542,-0.031360491945908286
2022-03-31,0.14681672062449574,0.15085386898072958,0.03560917854937062,0.04880379026769188,0.03577328837154625
2022-04-30,0.01060517351912581,-0.05039651080699771,-0.052606740118778035,-0.03499206574967639,-0.08795671180434306
2022-05-31,0.05401160050039221,0.06304560654187127,0.01023738848238599,0.016086933590375496,5.317770464463578e-05
2022-06-30,-0.13887839738115887,-0.20306353444716624,-0.06730200528901036,-0.032506165490749916,-0.08391999993382682
2022-07-31,0.01335084314453252,0.059992598726993106,0.07571182549764767,0.05337019201026316,0.09111639173021002
2022-08-31,0.060142718113384154,0.015618304285643902,-0.012280558075801485,0.010427034712991778,-0.04244012827299837
2022-09-30,-0.07933135331949225,-0.08775780321763398,-0.08000021949279718,-0.07668925164621254,-0.09339567201327437
2022-10-31,0.1036437456313108,0.0563965791758821,0.08469285186081486,0.06362480545716931,0.0798634138370089
2022-11-30,0.03953986118972334,0.12095112409856079,0.059210454925456506,0.013829808322678216,0.053752893352493114
2022-12-31,-0.07467309786740185,-0.015496769501069685,-0.048926520326903804,-0.06702030422504057,-0.05897147407473047
2023-01-31,0.03871231214207801,0.03886232141469197,0.06752333556853708,0.047236366858916634,0.0617528578346791
2023-02-28,0.04461909883145941,0.007550965921733444,-0.011203476290311218,0.004334566464734291,-0.02611249393181858
2023-03-31,0.0428762198559607,0.013365224965112466,0.005367636925734122,0.021712798354299068,0.03505161257710898
2023-04-30,-0.01625473133593195,0.026636497240610735,0.012289895698066478,0.029062623326297166,0.014642341662481018
2023-05-31,-0.03552270289323621,0.04498047818100655,-0.0031324318777073657,0.07039820035836075,0.002482347368192972
2023-06-30,0.08670725968028387,0.08614047923431943,0.08167525359533574,0.07450035868765537,0.06472746490423464
